,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,785.00","2,020.00","1,903.00",Rs./Quintal,1.70,Metric Tonnes,24-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,900.00","2,755.00","2,328.00",Rs./Quintal,2.00,Metric Tonnes,23-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,850.00","2,555.00","2,203.00",Rs./Quintal,0.60,Metric Tonnes,23-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,000.00","2,705.00","2,353.00",Rs./Quintal,2.70,Metric Tonnes,22-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,840.00","2,500.00","2,170.00",Rs./Quintal,3.20,Metric Tonnes,22-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,800.00","2,425.00","2,113.00",Rs./Quintal,1.20,Metric Tonnes,22-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,930.00","3,000.00","2,465.00",Rs./Quintal,3.20,Metric Tonnes,21-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,805.00","2,000.00","1,903.00",Rs./Quintal,1.50,Metric Tonnes,21-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,870.00","2,250.00","2,060.00",Rs./Quintal,1.60,Metric Tonnes,20-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,755.00","4,130.00","2,943.00",Rs./Quintal,2.60,Metric Tonnes,20-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,890.00","2,880.00","2,385.00",Rs./Quintal,3.10,Metric Tonnes,20-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,060.00","2,185.00","2,122.00",Rs./Quintal,0.30,Metric Tonnes,19-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,855.00","2,360.00","2,108.00",Rs./Quintal,2.60,Metric Tonnes,19-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,800.00","1,935.00","1,868.00",Rs./Quintal,2.00,Metric Tonnes,19-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,905.00","3,005.00","2,455.00",Rs./Quintal,1.90,Metric Tonnes,18-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,810.00","2,355.00","2,083.00",Rs./Quintal,3.80,Metric Tonnes,18-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,655.00","3,125.00","2,390.00",Rs./Quintal,2.90,Metric Tonnes,17-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,845.00","2,060.00","1,953.00",Rs./Quintal,0.90,Metric Tonnes,17-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,500.00","2,240.00","1,870.00",Rs./Quintal,2.80,Metric Tonnes,16-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,855.00","1,905.00","1,880.00",Rs./Quintal,0.80,Metric Tonnes,16-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,850.00","2,700.00","2,275.00",Rs./Quintal,3.00,Metric Tonnes,15-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,700.00","2,125.00","1,913.00",Rs./Quintal,1.40,Metric Tonnes,15-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,0.10,Metric Tonnes,13-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,925.00","2,125.00","2,025.00",Rs./Quintal,1.60,Metric Tonnes,13-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"2,490.00","2,605.00","2,548.00",Rs./Quintal,1.00,Metric Tonnes,12-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"3,750.00","4,755.00","4,253.00",Rs./Quintal,0.60,Metric Tonnes,12-11-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,400.00","1,925.00","1,663.00",Rs./Quintal,9.60,Metric Tonnes,12-01-2026
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,855.00","2,805.00","2,330.00",Rs./Quintal,0.70,Metric Tonnes,11-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,805.00","2,705.00","2,255.00",Rs./Quintal,2.20,Metric Tonnes,10-12-2025
Gujarat,Amreli,Rajula APMC,Cereals,Bajra(Pearl Millet/Cumbu),Local,Local,"1,505.00","2,505.00","2,005.00",Rs./Quintal,5.00,Metric Tonnes,10-01-2026
