,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,390.00","2,000.00",Rs./Quintal,249.10,Metric Tonnes,16-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,150.00","1,925.00",Rs./Quintal,160.10,Metric Tonnes,16-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,350.00","2,100.00",Rs./Quintal,282.50,Metric Tonnes,15-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,700.00","2,650.00","2,150.00",Rs./Quintal,313.10,Metric Tonnes,15-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,250.00","2,000.00",Rs./Quintal,165.70,Metric Tonnes,15-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,715.00","2,754.00","1,850.00",Rs./Quintal,282.50,Metric Tonnes,14-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,400.00","2,000.00",Rs./Quintal,259.60,Metric Tonnes,13-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,715.00","2,825.00","2,000.00",Rs./Quintal,285.30,Metric Tonnes,13-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,200.00","1,960.00",Rs./Quintal,128.90,Metric Tonnes,13-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,350.00","2,100.00",Rs./Quintal,175.40,Metric Tonnes,12-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,720.00","2,682.00","2,000.00",Rs./Quintal,269.60,Metric Tonnes,12-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,265.00","1,935.00",Rs./Quintal,282.50,Metric Tonnes,12-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,725.00","2,350.00","2,000.00",Rs./Quintal,190.80,Metric Tonnes,11-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,Other,Local,"1,730.00","2,700.00","1,900.00",Rs./Quintal,336.30,Metric Tonnes,11-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,725.00","2,400.00","2,050.00",Rs./Quintal,220.90,Metric Tonnes,10-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,280.00","1,950.00",Rs./Quintal,204.30,Metric Tonnes,10-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,725.00","2,450.00","2,100.00",Rs./Quintal,216.70,Metric Tonnes,09-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,370.00","2,100.00",Rs./Quintal,193.20,Metric Tonnes,09-01-2026
